,disp_mort,alphavar,gammavar,betavar,betavar_,alphavar corner,alphavar side,alphavar center,size corner,size side,size center
0,0.05,0.011537587,0.001345567,0.01019202,8.574516586,0.466821681,0.420125944,0.090076427,81.443,102.972,129.368
1,0.05,0.011853155,0.001258345,0.01059481,9.419636307,0.488836779,0.420465823,0.086429816,80.048,102.942,129.38
2,0.05,0.012040402,0.001349061,0.010691341,8.925025297,0.481917684,0.424277309,0.093015415,80.433,101.925,129.14
3,0.05,0.012191882,0.001198465,0.010993417,10.17291147,0.498629832,0.424965455,0.087120914,80.249,103.248,129.724
4,0.05,0.012521936,0.001251478,0.011270458,10.00571798,0.543067188,0.416523226,0.076155173,80.15,102.579,130.108
5,0.05,0.012230765,0.001654715,0.01057605,7.391463168,0.506725306,0.411563674,0.093364838,80.62,102.47,129.64
6,0.05,0.012264467,0.001637696,0.010626771,7.48885583,0.50046405,0.412705994,0.098028486,80.347,103.148,131.132
7,0.05,0.011528289,0.001414464,0.010113825,8.150287475,0.475225466,0.422789843,0.08234737,80.565,102.762,127.668
8,0.05,0.012572629,0.001595688,0.010976941,7.879128314,0.504669396,0.431482209,0.08939002,80.447,102.643,130.296
9,0.05,0.012190291,0.001690859,0.010499432,7.209526061,0.508128816,0.41314,0.090393158,79.955,102.789,128.844
10,0.05,0.012267956,0.001497588,0.010770368,8.191808601,0.509731486,0.416944348,0.088575683,80.145,102.986,128.808
11,0.05,0.011876236,0.001380761,0.010495475,8.601225402,0.492643557,0.423892812,0.081805481,80.403,102.287,129.436
12,0.05,0.012035862,0.001434053,0.010601809,8.392900632,0.49701761,0.420868286,0.086701279,80.987,102.996,131.432
13,0.05,0.012471722,0.001691129,0.010780593,7.374791536,0.527506418,0.414112852,0.086538843,79.302,102.248,129.148
14,0.05,0.012027008,0.001491114,0.010535895,8.065788994,0.485924468,0.429258089,0.086402936,80.723,102.43,130.4
15,0.05,0.011540523,0.001449984,0.010090539,7.959068982,0.49016041,0.401723112,0.090491937,80.827,102.707,129.556
16,0.05,0.011130395,0.001312227,0.009818168,8.482066165,0.476736524,0.398370106,0.08911153,79.721,101.716,129.38
17,0.05,0.011303338,0.001381288,0.009922049,8.183185315,0.464557807,0.404008725,0.097360854,80.328,102.217,129.896
18,0.05,0.011547159,0.001405031,0.010142127,8.21843428,0.47784477,0.419788501,0.084115916,80.587,102.453,129.46
19,0.05,0.011612337,0.001409214,0.010203123,8.240292283,0.499557816,0.401182939,0.087490609,80.896,102.534,129.688
20,0.1,0.011437913,0.001502535,0.009935378,7.612410879,0.497755068,0.394716722,0.087913302,79.195,100.212,125.768
21,0.1,0.011849413,0.00140826,0.010441153,8.414222937,0.496561866,0.413883764,0.086505732,78.813,100.503,126.564
22,0.1,0.012709763,0.001458057,0.011251706,8.716918051,0.513103347,0.425807971,0.092383112,78.817,100.098,125.412
23,0.1,0.01219752,0.001639034,0.010558487,7.441897856,0.502551308,0.422867256,0.086318287,78.395,100.341,127.18
24,0.1,0.011730663,0.001480011,0.010250652,7.926065893,0.479746447,0.413616875,0.093247833,78.465,99.47,125.548
25,0.1,0.012535219,0.001682023,0.010853196,7.45246467,0.485580187,0.440465078,0.092818373,79.199,100.34,126.652
26,0.1,0.012382599,0.001461705,0.010920894,8.471341498,0.505050741,0.428429504,0.085379216,79.356,100.445,126.108
27,0.1,0.012508877,0.001354969,0.011153907,9.231854026,0.516787115,0.416803175,0.091125669,78.937,99.95,125.192
28,0.1,0.011824537,0.001513293,0.010311244,7.813779082,0.483730532,0.419022577,0.089213768,79.239,100.505,125.96
29,0.1,0.012534701,0.001429591,0.011105111,8.76803508,0.513538647,0.422511556,0.090516853,77.287,100.86,126.204
30,0.1,0.011932934,0.001418089,0.010514845,8.414799694,0.493981451,0.411248421,0.092515895,79.436,100.698,127.292
31,0.1,0.012045303,0.001316653,0.01072865,9.148428352,0.479253894,0.429403045,0.090458266,79.564,100.183,126.84
32,0.1,0.012119396,0.001544471,0.010574926,7.846957316,0.47704184,0.429771427,0.093844271,79.663,100.46,125.892
33,0.1,0.011891984,0.001351745,0.010540239,8.797507727,0.493906486,0.403245726,0.097906116,78.479,100.195,125.892
34,0.1,0.01260777,0.002083904,0.010523866,6.050072304,0.491662661,0.437866265,0.093134282,78.976,99.055,126.712
