,disp_prop,alphavar,gammavar,betavar,betavar_,alphavar corner,alphavar side,alphavar center,size corner,size side,size center
0,0.05,0.011977677,0.001560881,0.010416796,7.673662496,0.450356174,0.436097893,0.097903989,94.262,99.583,104.34
1,0.05,0.012172456,0.001299261,0.010873195,9.36875581,0.454851121,0.431072699,0.106058569,93.925,98.337,104.396
2,0.05,0.012774934,0.001542278,0.011232656,8.283156726,0.459309205,0.440497913,0.115507531,94.215,97.854,104.332
3,0.05,0.012248304,0.001431503,0.010816801,8.556255113,0.446794661,0.437430934,0.109996842,93.727,98.413,104.152
4,0.05,0.012083457,0.001418213,0.010665244,8.520198576,0.462921332,0.42623199,0.100146704,93.059,97.839,104.98
5,0.05,0.011975963,0.001626083,0.010349881,7.364917304,0.448537762,0.425766613,0.109161952,94.617,98.421,104.78
6,0.05,0.011973638,0.001188087,0.01078555,10.07807722,0.449028002,0.440732861,0.094815952,93.698,99.248,105.468
7,0.05,0.012709769,0.001411617,0.011298151,9.003691784,0.466664043,0.443454833,0.103856681,93.782,98.276,102.72
8,0.05,0.012409768,0.00127946,0.011130308,9.699220119,0.440203927,0.460557673,0.100244403,94.483,98.335,102.968
9,0.05,0.0123126,0.001439013,0.010873587,8.556283505,0.434336788,0.452782762,0.10926657,94.204,97.573,103.136
10,0.05,0.011813099,0.001272148,0.010540951,9.28594441,0.437070296,0.440158041,0.099800735,94.741,97.979,105.484
11,0.05,0.012150391,0.001499078,0.010651312,8.10524004,0.46545438,0.421007386,0.106040461,92.839,98.936,102.268
12,0.05,0.012005648,0.001238366,0.010767282,9.694747332,0.446719452,0.432524095,0.105629347,93.861,99.018,105.244
13,0.05,0.012058455,0.001393872,0.010664583,8.651048439,0.462611172,0.436524179,0.089555659,93.531,97.326,103.996
14,0.05,0.012591894,0.001391112,0.011200782,9.051672252,0.455488901,0.441895082,0.111031046,94.321,99.211,103.888
15,0.05,0.012600678,0.001452189,0.011148489,8.677023417,0.45819095,0.448643327,0.102540149,94.686,98.496,103.324
16,0.05,0.012821522,0.00129173,0.011529793,9.92585608,0.456893883,0.447160598,0.113005295,94.821,98.62,102.492
17,0.05,0.011828152,0.001331449,0.010496703,8.883670878,0.459222855,0.423579855,0.095662369,94.267,97.019,104.092
18,0.05,0.01249713,0.001383321,0.011113809,9.034149662,0.441406443,0.457131398,0.105957665,94.394,97.195,104.404
19,0.05,0.012437979,0.00142437,0.011013609,8.732267897,0.450993715,0.446924423,0.104397329,93.629,98.337,103.616
20,0.1,0.012942415,0.001344687,0.011597728,9.624853496,0.474680677,0.430662975,0.117707232,89.367,97.148,106.632
21,0.1,0.012367257,0.001595116,0.010772141,7.753200825,0.457172256,0.443679291,0.099952921,89.143,97.607,105.324
22,0.1,0.012467563,0.001448546,0.011019017,8.606950678,0.457975724,0.446485637,0.100629926,89.335,98.041,107.276
23,0.1,0.012134966,0.001362377,0.01077259,8.907204293,0.471924757,0.423460174,0.098171335,88.505,97.696,107.848
24,0.1,0.013038631,0.001427802,0.011610829,9.131959267,0.488204907,0.446472774,0.096022528,88.748,97.391,108.316
25,0.1,0.012568774,0.001376653,0.011192121,9.129949049,0.463144462,0.433879851,0.111247309,89.135,97.081,108.128
26,0.1,0.013578114,0.001802698,0.011775416,7.53210641,0.503152336,0.448012815,0.100450555,88.245,97.629,106.748
27,0.1,0.012496992,0.001614267,0.010882725,7.741588691,0.4789064,0.431490337,0.09794398,88.803,97.071,108.164
28,0.1,0.013140826,0.00167758,0.011463246,7.833203122,0.480364379,0.448851024,0.103582237,89.178,97.447,108.308
29,0.1,0.012333918,0.001869007,0.010464911,6.599182803,0.475020743,0.432344394,0.095013784,89.177,96.825,109.964
30,0.1,0.012392533,0.001418779,0.010973754,8.734646288,0.460133206,0.434118245,0.10716232,90.111,98.359,107.936
31,0.1,0.012422192,0.001603806,0.010818386,7.74544423,0.472467088,0.432392973,0.099701738,89.233,97.558,106.34
32,0.1,0.01199057,0.001259348,0.010731222,9.521252356,0.461228035,0.431469352,0.09475929,88.664,97.727,107.184
33,0.1,0.012664123,0.001293111,0.011371012,9.793531048,0.451671949,0.454912718,0.105357166,89.413,96.509,108.256
34,0.1,0.012690123,0.001326644,0.011363479,9.56558449,0.466038695,0.444823382,0.10322245,89.465,97.154,107.856
35,0.1,0.012469137,0.001666696,0.010802441,7.481349539,0.460336978,0.442717529,0.101940194,90.1,96.809,108.236
36,0.1,0.012964908,0.00167611,0.011288798,7.73511606,0.469560577,0.445720767,0.109132319,89.83,96.641,108.032
37,0.1,0.012252864,0.001508005,0.010744859,8.125213318,0.462559893,0.428415801,0.10575455,88.019,96.646,107.704
38,0.1,0.013539,0.001391709,0.012147291,9.728326599,0.482108226,0.455841751,0.109265721,89.211,98.001,107.068
39,0.1,0.012870642,0.001641109,0.011229533,7.842648034,0.452231681,0.457732586,0.10965829,89.938,97.085,107.74
40,0.15,0.013232107,0.001722364,0.011509743,7.682526626,0.48689506,0.459313091,0.094136654,83.544,96.76,111.728
41,0.15,0.012865796,0.001656328,0.011209468,7.767660989,0.474465283,0.451628459,0.097741924,84.97,96.189,110.856
42,0.15,0.012694746,0.001500697,0.011194049,8.459232333,0.487017348,0.423632954,0.107012913,83.794,96.692,109.184
43,0.15,0.01330798,0.001820546,0.011487434,7.30988288,0.515606853,0.430354778,0.099489854,83.953,95.58,109.632
44,0.15,0.013512305,0.001717109,0.011795196,7.869219764,0.511559597,0.443891174,0.097369844,83.595,95.947,109.292
45,0.15,0.012292469,0.001421821,0.010870648,8.645580491,0.486964659,0.420207203,0.096337635,84.478,96.403,110.564
46,0.15,0.0127217,0.001537417,0.011184283,8.274724737,0.470150317,0.442166174,0.104345865,84.123,95.092,109.308
47,0.15,0.01285981,0.001637897,0.011221913,7.851415119,0.496634124,0.426413314,0.102909168,83.593,95.838,110.768
48,0.15,0.012935331,0.001637,0.011298331,7.901852965,0.47017984,0.449590906,0.105047524,84.38,95.918,110.776
49,0.15,0.01255159,0.001642859,0.01090873,7.640088502,0.470036231,0.43543108,0.104716589,84.341,96.221,109.572
50,0.15,0.012630775,0.001626145,0.011004629,7.767309186,0.484019334,0.438117598,0.094350266,84.994,95.27,110.412
51,0.15,0.013532777,0.001507343,0.012025433,8.977898244,0.497349764,0.455435031,0.098937672,84.451,96.266,109.348
52,0.15,0.012705548,0.001587363,0.011118186,8.004187438,0.469815873,0.448871918,0.098674944,83.771,96.772,112.34
53,0.15,0.012686187,0.001479648,0.011206538,8.573784258,0.491230714,0.435115503,0.093777961,83.458,95.622,110.98
54,0.15,0.013380318,0.001783544,0.011596774,7.502096352,0.519859415,0.43543941,0.093676631,84.302,95.418,108.848
55,0.15,0.013256841,0.001506588,0.011750253,8.799246244,0.493843371,0.43843206,0.107885253,83.433,96.672,110.784
56,0.15,0.01322035,0.001613977,0.011606373,8.191162826,0.492861697,0.436643737,0.108327177,84.103,95.546,111.116
57,0.15,0.012591982,0.001361733,0.01123025,9.247030325,0.492094898,0.424200668,0.09890037,84.18,95.823,110.548
58,0.15,0.013341207,0.001581015,0.011760191,8.438378386,0.487092336,0.449623686,0.105569749,83.506,96.37,110.044
59,0.15,0.013167169,0.001657333,0.011509836,7.944791971,0.492540839,0.442917091,0.101527418,84.018,95.577,110.452
60,0.2,0.012687781,0.001316969,0.011370812,9.634074258,0.498014119,0.424932956,0.099308565,79.262,94.58,113.352
61,0.2,0.013153369,0.001488714,0.011664655,8.835387868,0.5132127,0.429051522,0.099650066,79.833,95.092,112.42
62,0.2,0.013195295,0.001479481,0.011715814,8.918865247,0.512812606,0.437844438,0.094108895,78.949,95.078,112.86
63,0.2,0.013947141,0.001666797,0.012280344,8.367632631,0.522457659,0.450850267,0.09991746,79.184,95.165,114.232
64,0.2,0.013040858,0.00156532,0.011475538,8.331113443,0.506218771,0.437341163,0.094319263,79.58,94.587,112.364
65,0.2,0.013673186,0.002038828,0.011634358,6.70639498,0.518158505,0.443257617,0.100589102,79.395,94.896,112.82
66,0.2,0.013124256,0.001445441,0.011678815,9.079757405,0.49647925,0.445894174,0.096594848,79.615,94.892,113.936
67,0.2,0.013860525,0.001561323,0.012299203,8.877424822,0.521459866,0.444399924,0.102262111,79.36,93.195,110.888
68,0.2,0.01268165,0.001644833,0.011036817,7.7099941,0.502028042,0.430301393,0.091862379,79.819,94.951,113.928
69,0.2,0.012488359,0.001274916,0.011213442,9.795434111,0.507178989,0.418306479,0.091855532,79.645,93.916,113.024
70,0.2,0.013589428,0.001800555,0.011788873,7.547356274,0.509315189,0.443637504,0.103719728,79.436,93.953,115.148
71,0.2,0.012812217,0.001877294,0.010934923,6.82483253,0.472711876,0.449452386,0.100400292,79.606,94.952,112.412
72,0.2,0.013532606,0.001699515,0.011833091,7.962628727,0.517560571,0.436208589,0.102360956,79.212,93.871,113.024
73,0.2,0.012308216,0.001729625,0.010578591,7.116118699,0.488718562,0.428335594,0.091020477,79.714,93.68,115.284
74,0.2,0.013475152,0.001834077,0.011641076,7.347104161,0.514720182,0.438252109,0.100783885,79.462,94.618,114.512
75,0.2,0.013419001,0.001877672,0.011541329,7.14661621,0.519846462,0.442686156,0.091840209,79.294,94.962,113.068
76,0.2,0.013534056,0.001815229,0.011718827,7.455839869,0.50550795,0.44610885,0.102482111,78.997,94.126,112.104
77,0.2,0.012921217,0.001618231,0.011302986,7.984780776,0.494846175,0.441062477,0.095052214,79.819,94.199,112.336
78,0.2,0.013025139,0.001594405,0.011430735,8.16928082,0.502933121,0.442991332,0.091208213,79.481,94.977,112.884
79,0.2,0.013515992,0.001262657,0.012253335,10.70440691,0.525187477,0.429586732,0.101662889,80.267,95.559,112.68
80,0.25,0.013518278,0.00155634,0.011961938,8.685941213,0.525559495,0.445837437,0.090613011,75.134,92.654,114.928
81,0.25,0.013754866,0.00174329,0.012011577,7.890179012,0.534252825,0.442673197,0.094961541,74.918,92.322,117.144
82,0.25,0.013421739,0.001833225,0.011588514,7.321380901,0.50477079,0.452880896,0.09576841,74.906,92.605,113.268
83,0.25,0.013404919,0.001406811,0.011998108,9.528584448,0.538433952,0.433617792,0.089575531,74.65,93.453,114.924
84,0.25,0.013468777,0.00152706,0.011941717,8.820070252,0.525104785,0.445652209,0.090483831,74.156,93.234,115.428
85,0.25,0.014220999,0.001405712,0.012815287,10.11658016,0.542672368,0.461544523,0.087362521,75.222,92.759,115.636
86,0.25,0.013600316,0.001879441,0.011720875,7.236362768,0.516943024,0.438934511,0.104004086,75.409,93.599,115.636
87,0.25,0.013190058,0.001705148,0.011484911,7.735435381,0.520169843,0.43126919,0.096704692,74.76,92.834,116.912
88,0.25,0.01375874,0.001732115,0.012026625,7.943316942,0.49919487,0.464744804,0.099996263,74.147,93.316,115.216
89,0.25,0.013138864,0.001773884,0.01136498,7.406835605,0.510928234,0.439088156,0.095264708,73.399,92.766,114.064
90,0.25,0.013998288,0.001979991,0.012018297,7.069873299,0.522419038,0.455386984,0.098750422,74.703,92.808,112.152
91,0.25,0.013148753,0.001597665,0.011551088,8.229982319,0.509983412,0.435334653,0.097923929,75.873,93.187,113.976
92,0.25,0.01395783,0.001859961,0.012097869,7.504366663,0.515435522,0.445430308,0.110952379,74.143,93.009,115.812
93,0.25,0.013569247,0.001687864,0.011881383,8.039303429,0.501996661,0.456610096,0.098620441,75.339,92.491,114.412
94,0.25,0.01349794,0.001187658,0.012310282,11.36517133,0.514516966,0.450382936,0.093900459,74.706,93.331,114.72
95,0.25,0.014496535,0.001684143,0.012812393,8.607664008,0.533159981,0.450885526,0.110178542,75.268,92.762,115.552
96,0.25,0.013534721,0.001497989,0.012036732,9.035259908,0.518355462,0.445881707,0.096456554,73.723,92.795,113.152
97,0.25,0.013244199,0.001875709,0.01136849,7.060903053,0.517333383,0.437189313,0.095159959,74.219,92.498,113.748
98,0.25,0.013096309,0.001705883,0.011390426,7.677142103,0.491841284,0.461535958,0.08787057,74.88,93.319,115.656
99,0.25,0.013324545,0.001833257,0.011491288,7.268237616,0.519647502,0.438386824,0.094777714,75.026,92.298,114.612
100,0.3,0.014226974,0.001909659,0.012317315,7.450006414,0.561921507,0.440797597,0.09523403,70.566,91.502,117.96
101,0.3,0.01376292,0.001665035,0.012097886,8.265845125,0.546151999,0.442055404,0.091121076,70.519,92.357,117.704
