TREAT;LENGTH;NO_R;REPLICATE;PATCH;WEEK;AFEMA
16_NO_1;16;NO;1;1.1;1;18
16_NO_1;16;NO;1;1.2;1;5
16_NO_1;16;NO;1;1.3;1;12
16_NO_1;16;NO;1;2.1;1;5
16_NO_1;16;NO;1;2.2;1;8
16_NO_1;16;NO;1;2.3;1;13
16_NO_1;16;NO;1;3.1;1;4
16_NO_1;16;NO;1;3.2;1;3
16_NO_1;16;NO;1;3.3;1;8
16_NO_2;16;NO;2;1.1;1;7
16_NO_2;16;NO;2;1.2;1;3
16_NO_2;16;NO;2;1.3;1;7
16_NO_2;16;NO;2;2.1;1;10
16_NO_2;16;NO;2;2.2;1;15
16_NO_2;16;NO;2;2.3;1;9
16_NO_2;16;NO;2;3.1;1;10
16_NO_2;16;NO;2;3.2;1;8
16_NO_2;16;NO;2;3.3;1;1
16_NO_3;16;NO;3;1.1;1;14
16_NO_3;16;NO;3;1.2;1;15
16_NO_3;16;NO;3;1.3;1;25
16_NO_3;16;NO;3;2.1;1;27
16_NO_3;16;NO;3;2.2;1;14
16_NO_3;16;NO;3;2.3;1;23
16_NO_3;16;NO;3;3.1;1;8
16_NO_3;16;NO;3;3.2;1;32
16_NO_3;16;NO;3;3.3;1;14
16_NO_4;16;NO;4;1.1;1;12
16_NO_4;16;NO;4;1.2;1;23
16_NO_4;16;NO;4;1.3;1;5
16_NO_4;16;NO;4;2.1;1;56
16_NO_4;16;NO;4;2.2;1;12
16_NO_4;16;NO;4;2.3;1;5
16_NO_4;16;NO;4;3.1;1;2
16_NO_4;16;NO;4;3.2;1;10
16_NO_4;16;NO;4;3.3;1;3
16_NO_5;16;NO;5;1.1;1;16
16_NO_5;16;NO;5;1.2;1;54
16_NO_5;16;NO;5;1.3;1;5
16_NO_5;16;NO;5;2.1;1;27
16_NO_5;16;NO;5;2.2;1;33
16_NO_5;16;NO;5;2.3;1;12
16_NO_5;16;NO;5;3.1;1;5
16_NO_5;16;NO;5;3.2;1;6
16_NO_5;16;NO;5;3.3;1;10
16_R_1;16;R;1;1.1;1;24
16_R_1;16;R;1;1.2;1;25
16_R_1;16;R;1;1.3;1;12
16_R_1;16;R;1;2.1;1;32
16_R_1;16;R;1;2.2;1;32
16_R_1;16;R;1;2.3;1;6
16_R_1;16;R;1;3.1;1;31
16_R_1;16;R;1;3.2;1;11
16_R_1;16;R;1;3.3;1;10
16_R_2;16;R;2;1.1;1;8
16_R_2;16;R;2;1.2;1;5
16_R_2;16;R;2;1.3;1;7
16_R_2;16;R;2;2.1;1;19
16_R_2;16;R;2;2.2;1;16
16_R_2;16;R;2;2.3;1;30
16_R_2;16;R;2;3.1;1;11
16_R_2;16;R;2;3.2;1;10
16_R_2;16;R;2;3.3;1;16
16_R_3;16;R;3;1.1;1;8
16_R_3;16;R;3;1.2;1;5
16_R_3;16;R;3;1.3;1;4
16_R_3;16;R;3;2.1;1;3
16_R_3;16;R;3;2.2;1;3
16_R_3;16;R;3;2.3;1;16
16_R_3;16;R;3;3.1;1;8
16_R_3;16;R;3;3.2;1;18
16_R_3;16;R;3;3.3;1;16
4_NO_1;4;NO;1;1.1;1;21
4_NO_1;4;NO;1;1.2;1;19
4_NO_1;4;NO;1;1.3;1;19
4_NO_1;4;NO;1;2.1;1;14
4_NO_1;4;NO;1;2.2;1;21
4_NO_1;4;NO;1;2.3;1;33
4_NO_1;4;NO;1;3.1;1;16
4_NO_1;4;NO;1;3.2;1;12
4_NO_1;4;NO;1;3.3;1;21
4_NO_2;4;NO;2;1.1;1;8
4_NO_2;4;NO;2;1.2;1;6
4_NO_2;4;NO;2;1.3;1;3
4_NO_2;4;NO;2;2.1;1;5
4_NO_2;4;NO;2;2.2;1;9
4_NO_2;4;NO;2;2.3;1;21
4_NO_2;4;NO;2;3.1;1;17
4_NO_2;4;NO;2;3.2;1;5
4_NO_2;4;NO;2;3.3;1;12
4_NO_3;4;NO;3;1.1;1;19
4_NO_3;4;NO;3;1.2;1;4
4_NO_3;4;NO;3;1.3;1;13
4_NO_3;4;NO;3;2.1;1;26
4_NO_3;4;NO;3;2.2;1;2
4_NO_3;4;NO;3;2.3;1;14
4_NO_3;4;NO;3;3.1;1;8
4_NO_3;4;NO;3;3.2;1;5
4_NO_3;4;NO;3;3.3;1;2
4_NO_4;4;NO;4;1.1;1;7
4_NO_4;4;NO;4;1.2;1;7
4_NO_4;4;NO;4;1.3;1;11
4_NO_4;4;NO;4;2.1;1;4
4_NO_4;4;NO;4;2.2;1;7
4_NO_4;4;NO;4;2.3;1;17
4_NO_4;4;NO;4;3.1;1;9
4_NO_4;4;NO;4;3.2;1;9
4_NO_4;4;NO;4;3.3;1;17
4_NO_5;4;NO;5;1.1;1;24
4_NO_5;4;NO;5;1.2;1;20
4_NO_5;4;NO;5;1.3;1;15
4_NO_5;4;NO;5;2.1;1;27
4_NO_5;4;NO;5;2.2;1;23
4_NO_5;4;NO;5;2.3;1;24
4_NO_5;4;NO;5;3.1;1;18
4_NO_5;4;NO;5;3.2;1;24
4_NO_5;4;NO;5;3.3;1;8
4_R_1;4;R;1;1.1;1;7
4_R_1;4;R;1;1.2;1;4
4_R_1;4;R;1;1.3;1;4
4_R_1;4;R;1;2.1;1;4
4_R_1;4;R;1;2.2;1;3
4_R_1;4;R;1;2.3;1;3
4_R_1;4;R;1;3.1;1;5
4_R_1;4;R;1;3.2;1;18
4_R_1;4;R;1;3.3;1;2
4_R_2;4;R;2;1.1;1;4
4_R_2;4;R;2;1.2;1;41
4_R_2;4;R;2;1.3;1;14
4_R_2;4;R;2;2.1;1;7
4_R_2;4;R;2;2.2;1;13
4_R_2;4;R;2;2.3;1;14
4_R_2;4;R;2;3.1;1;9
4_R_2;4;R;2;3.2;1;23
4_R_2;4;R;2;3.3;1;49
4_R_3;4;R;3;1.1;1;9
4_R_3;4;R;3;1.2;1;9
4_R_3;4;R;3;1.3;1;2
4_R_3;4;R;3;2.1;1;4
4_R_3;4;R;3;2.2;1;12
4_R_3;4;R;3;2.3;1;2
4_R_3;4;R;3;3.1;1;4
4_R_3;4;R;3;3.2;1;1
4_R_3;4;R;3;3.3;1;6
8_NO_1;8;NO;1;1.1;1;6
8_NO_1;8;NO;1;1.2;1;4
8_NO_1;8;NO;1;1.3;1;5
8_NO_1;8;NO;1;2.1;1;3
8_NO_1;8;NO;1;2.2;1;6
8_NO_1;8;NO;1;2.3;1;1
8_NO_1;8;NO;1;3.1;1;8
8_NO_1;8;NO;1;3.2;1;6
8_NO_1;8;NO;1;3.3;1;2
8_NO_2;8;NO;2;1.1;1;4
8_NO_2;8;NO;2;1.2;1;24
8_NO_2;8;NO;2;1.3;1;15
8_NO_2;8;NO;2;2.1;1;17
8_NO_2;8;NO;2;2.2;1;7
8_NO_2;8;NO;2;2.3;1;27
8_NO_2;8;NO;2;3.1;1;7
8_NO_2;8;NO;2;3.2;1;9
8_NO_2;8;NO;2;3.3;1;13
8_NO_3;8;NO;3;1.1;1;28
8_NO_3;8;NO;3;1.2;1;41
8_NO_3;8;NO;3;1.3;1;10
8_NO_3;8;NO;3;2.1;1;24
8_NO_3;8;NO;3;2.2;1;10
8_NO_3;8;NO;3;2.3;1;8
8_NO_3;8;NO;3;3.1;1;37
8_NO_3;8;NO;3;3.2;1;4
8_NO_3;8;NO;3;3.3;1;20
8_NO_4;8;NO;4;1.1;1;2
8_NO_4;8;NO;4;1.2;1;9
8_NO_4;8;NO;4;1.3;1;10
8_NO_4;8;NO;4;2.1;1;10
8_NO_4;8;NO;4;2.2;1;0
8_NO_4;8;NO;4;2.3;1;8
8_NO_4;8;NO;4;3.1;1;3
8_NO_4;8;NO;4;3.2;1;8
8_NO_4;8;NO;4;3.3;1;6
8_NO_5;8;NO;5;1.1;1;8
8_NO_5;8;NO;5;1.2;1;9
8_NO_5;8;NO;5;1.3;1;8
8_NO_5;8;NO;5;2.1;1;7
8_NO_5;8;NO;5;2.2;1;10
8_NO_5;8;NO;5;2.3;1;10
8_NO_5;8;NO;5;3.1;1;5
8_NO_5;8;NO;5;3.2;1;8
8_NO_5;8;NO;5;3.3;1;1
8_R_1;8;R;1;1.1;1;14
8_R_1;8;R;1;1.2;1;3
8_R_1;8;R;1;1.3;1;16
8_R_1;8;R;1;2.1;1;13
8_R_1;8;R;1;2.2;1;4
8_R_1;8;R;1;2.3;1;2
8_R_1;8;R;1;3.1;1;5
8_R_1;8;R;1;3.2;1;12
8_R_1;8;R;1;3.3;1;9
8_R_2;8;R;2;1.1;1;6
8_R_2;8;R;2;1.2;1;5
8_R_2;8;R;2;1.3;1;4
8_R_2;8;R;2;2.1;1;3
8_R_2;8;R;2;2.2;1;4
8_R_2;8;R;2;2.3;1;4
8_R_2;8;R;2;3.1;1;6
8_R_2;8;R;2;3.2;1;7
8_R_2;8;R;2;3.3;1;1
8_R_3;8;R;3;1.1;1;9
8_R_3;8;R;3;1.2;1;13
8_R_3;8;R;3;1.3;1;7
8_R_3;8;R;3;2.1;1;8
8_R_3;8;R;3;2.2;1;14
8_R_3;8;R;3;2.3;1;8
8_R_3;8;R;3;3.1;1;17
8_R_3;8;R;3;3.2;1;13
8_R_3;8;R;3;3.3;1;6
16_NO_1;16;NO;1;1.1;2;19
16_NO_1;16;NO;1;1.2;2;36
16_NO_1;16;NO;1;1.3;2;11
16_NO_1;16;NO;1;2.1;2;31
16_NO_1;16;NO;1;2.2;2;17
16_NO_1;16;NO;1;2.3;2;4
16_NO_1;16;NO;1;3.1;2;15
16_NO_1;16;NO;1;3.2;2;3
16_NO_1;16;NO;1;3.3;2;2
16_NO_2;16;NO;2;1.1;2;15
16_NO_2;16;NO;2;1.2;2;12
16_NO_2;16;NO;2;1.3;2;8
16_NO_2;16;NO;2;2.1;2;15
16_NO_2;16;NO;2;2.2;2;22
16_NO_2;16;NO;2;2.3;2;17
16_NO_2;16;NO;2;3.1;2;12
16_NO_2;16;NO;2;3.2;2;17
16_NO_2;16;NO;2;3.3;2;23
16_NO_3;16;NO;3;1.1;2;48
16_NO_3;16;NO;3;1.2;2;45
16_NO_3;16;NO;3;1.3;2;24
16_NO_3;16;NO;3;2.1;2;24
16_NO_3;16;NO;3;2.2;2;39
16_NO_3;16;NO;3;2.3;2;21
16_NO_3;16;NO;3;3.1;2;9
16_NO_3;16;NO;3;3.2;2;46
16_NO_3;16;NO;3;3.3;2;54
16_NO_4;16;NO;4;1.1;2;20
16_NO_4;16;NO;4;1.2;2;19
16_NO_4;16;NO;4;1.3;2;20
16_NO_4;16;NO;4;2.1;2;30
16_NO_4;16;NO;4;2.2;2;17
16_NO_4;16;NO;4;2.3;2;32
16_NO_4;16;NO;4;3.1;2;40
16_NO_4;16;NO;4;3.2;2;15
16_NO_4;16;NO;4;3.3;2;10
16_NO_5;16;NO;5;1.1;2;40
16_NO_5;16;NO;5;1.2;2;2
16_NO_5;16;NO;5;1.3;2;4
16_NO_5;16;NO;5;2.1;2;10
16_NO_5;16;NO;5;2.2;2;2
16_NO_5;16;NO;5;2.3;2;24
16_NO_5;16;NO;5;3.1;2;13
16_NO_5;16;NO;5;3.2;2;15
16_NO_5;16;NO;5;3.3;2;4
16_R_1;16;R;1;1.1;2;32
16_R_1;16;R;1;1.2;2;66
16_R_1;16;R;1;1.3;2;25
16_R_1;16;R;1;2.1;2;62
16_R_1;16;R;1;2.2;2;13
16_R_1;16;R;1;2.3;2;11
16_R_1;16;R;1;3.1;2;35
16_R_1;16;R;1;3.2;2;9
16_R_1;16;R;1;3.3;2;5
16_R_2;16;R;2;1.1;2;8
16_R_2;16;R;2;1.2;2;31
16_R_2;16;R;2;1.3;2;3
16_R_2;16;R;2;2.1;2;19
16_R_2;16;R;2;2.2;2;17
16_R_2;16;R;2;2.3;2;23
16_R_2;16;R;2;3.1;2;16
16_R_2;16;R;2;3.2;2;15
16_R_2;16;R;2;3.3;2;17
16_R_3;16;R;3;1.1;2;18
16_R_3;16;R;3;1.2;2;10
16_R_3;16;R;3;1.3;2;1
16_R_3;16;R;3;2.1;2;10
16_R_3;16;R;3;2.2;2;46
16_R_3;16;R;3;2.3;2;5
16_R_3;16;R;3;3.1;2;15
16_R_3;16;R;3;3.2;2;45
16_R_3;16;R;3;3.3;2;6
4_NO_1;4;NO;1;1.1;2;15
4_NO_1;4;NO;1;1.2;2;24
4_NO_1;4;NO;1;1.3;2;27
4_NO_1;4;NO;1;2.1;2;2
4_NO_1;4;NO;1;2.2;2;6
4_NO_1;4;NO;1;2.3;2;2
4_NO_1;4;NO;1;3.1;2;8
4_NO_1;4;NO;1;3.2;2;21
4_NO_1;4;NO;1;3.3;2;0
4_NO_2;4;NO;2;1.1;2;20
4_NO_2;4;NO;2;1.2;2;27
4_NO_2;4;NO;2;1.3;2;2
4_NO_2;4;NO;2;2.1;2;3
4_NO_2;4;NO;2;2.2;2;3
4_NO_2;4;NO;2;2.3;2;9
4_NO_2;4;NO;2;3.1;2;18
4_NO_2;4;NO;2;3.2;2;14
4_NO_2;4;NO;2;3.3;2;12
4_NO_3;4;NO;3;1.1;2;30
4_NO_3;4;NO;3;1.2;2;9
4_NO_3;4;NO;3;1.3;2;36
4_NO_3;4;NO;3;2.1;2;6
4_NO_3;4;NO;3;2.2;2;1
4_NO_3;4;NO;3;2.3;2;2
4_NO_3;4;NO;3;3.1;2;36
4_NO_3;4;NO;3;3.2;2;6
4_NO_3;4;NO;3;3.3;2;5
4_NO_4;4;NO;4;1.1;2;17
4_NO_4;4;NO;4;1.2;2;20
4_NO_4;4;NO;4;1.3;2;17
4_NO_4;4;NO;4;2.1;2;23
4_NO_4;4;NO;4;2.2;2;27
4_NO_4;4;NO;4;2.3;2;29
4_NO_4;4;NO;4;3.1;2;52
4_NO_4;4;NO;4;3.2;2;28
4_NO_4;4;NO;4;3.3;2;7
4_NO_5;4;NO;5;1.1;2;32
4_NO_5;4;NO;5;1.2;2;43
4_NO_5;4;NO;5;1.3;2;25
4_NO_5;4;NO;5;2.1;2;45
4_NO_5;4;NO;5;2.2;2;32
4_NO_5;4;NO;5;2.3;2;11
4_NO_5;4;NO;5;3.1;2;68
4_NO_5;4;NO;5;3.2;2;22
4_NO_5;4;NO;5;3.3;2;15
4_R_1;4;R;1;1.1;2;0
4_R_1;4;R;1;1.2;2;4
4_R_1;4;R;1;1.3;2;9
4_R_1;4;R;1;2.1;2;2
4_R_1;4;R;1;2.2;2;4
4_R_1;4;R;1;2.3;2;6
4_R_1;4;R;1;3.1;2;6
4_R_1;4;R;1;3.2;2;5
4_R_1;4;R;1;3.3;2;3
4_R_2;4;R;2;1.1;2;24
4_R_2;4;R;2;1.2;2;39
4_R_2;4;R;2;1.3;2;36
4_R_2;4;R;2;2.1;2;57
4_R_2;4;R;2;2.2;2;14
4_R_2;4;R;2;2.3;2;32
4_R_2;4;R;2;3.1;2;9
4_R_2;4;R;2;3.2;2;18
4_R_2;4;R;2;3.3;2;5
4_R_3;4;R;3;1.1;2;1
4_R_3;4;R;3;1.2;2;9
4_R_3;4;R;3;1.3;2;21
4_R_3;4;R;3;2.1;2;8
4_R_3;4;R;3;2.2;2;0
4_R_3;4;R;3;2.3;2;7
4_R_3;4;R;3;3.1;2;8
4_R_3;4;R;3;3.2;2;18
4_R_3;4;R;3;3.3;2;18
8_NO_1;8;NO;1;1.1;2;10
8_NO_1;8;NO;1;1.2;2;9
8_NO_1;8;NO;1;1.3;2;5
8_NO_1;8;NO;1;2.1;2;6
8_NO_1;8;NO;1;2.2;2;3
8_NO_1;8;NO;1;2.3;2;3
8_NO_1;8;NO;1;3.1;2;5
8_NO_1;8;NO;1;3.2;2;5
8_NO_1;8;NO;1;3.3;2;4
8_NO_2;8;NO;2;1.1;2;12
